an amulet of proof against detection and location
boots of elvenkind
boots of striding and springing
bracers of archery
a brooch of shielding
a broom of flying
a cloak of elvenkind
a cloak of protection
gauntlets of ogre power
a hat of disguise
a javelin of lightning
a pearl of power
a +1 rod of the pact keeper
slippers of spider climbing
a staff of the adder
a staff of the python
a sword of vengeance
a trident of fish command
a wand of magic missiles
a +1 wand of the war mage
a wand of web
a weapon of warning
